ACRES,BOROUGH,LOCATION,SIGNNAME,TYPECATEGORY,URL,ZIPCODE
0.525,B,Schenck Ave. bet. Livonia Ave. and New Lots Ave.,United Community Center,Garden,http://www.nycgovparks.org/parks/B515/,11207
0.3,B,Columbia Hts. at Middagh St.,Harry Chapin Playground,Playground,http://www.nycgovparks.org/parks/B223H/,11201
0.32,B,BQE bet. Clark St. and Pierrepoint St.,Brooklyn Heights Promenade,Triangle/Plaza,http://www.nycgovparks.org/parks/B223DG/,11201
0.21,B,Montague St. bet. Montague Ter. and BQE,Brooklyn Heights Promenade,Triangle/Plaza,http://www.nycgovparks.org/parks/B223DF/,11201
0.08,B,BQE at Montague St.,Brooklyn Heights Promenade,Triangle/Plaza,http://www.nycgovparks.org/parks/B223DF/,11201
0.503,B,"bet. Pierrepont Pl., Pierrepont St. and the BQE",Pierrepont Playground,Playground,http://www.nycgovparks.org/parks/B222/,11201
0.55,B,Nostrand Ave. bet. Kings Hwy. and Ave. P,Pfc Norton Playground,Playground,http://www.nycgovparks.org/parks/B208/,11229
1.056,B,Avenue V bet. E. 13 St. and E. 14 St.,Mellett Playground,Neighborhood Park,http://www.nycgovparks.org/parks/B197/,11229
0.912,R,Corner Of Bartow Ave. and Page Ave.,Aesop Park,Jointly Operated Playground,http://www.nycgovparks.org/parks/R027A/,10309
1.547,B,"Bedford Ave., Hancock St., Jefferson Ave.",John Hancock Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B237/,11216
0.208,B,Rockaway Ave. bet. Blake Ave. and Dumont Ave.,P.S. 125 Playground,Playground,http://www.nycgovparks.org/parks/B227/,11212
1.791,B,Mother Gaston Blvd. and Sutter Ave.,Dr. Green Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B228/,11212
109.609,Q,"N. Conduit Ave., 116 Ave. bet. 150 St., Suptin Blvd., and Baisley Blvd. S.",Baisley Pond Park,Community Park,http://www.nycgovparks.org/parks/Q005/,11434
0.327,B,S. 3 St. bet. Berry St. and Bedford Ave.,Berry Playground,Playground,http://www.nycgovparks.org/parks/B154/,11211
2.525,B,"Nevins St., 3 Ave., bet. De Graw St. and Douglas St.",Thomas Greene Playground,Community Park,http://www.nycgovparks.org/parks/B145/,11217
1.6,R,"Jules Dr., Elson Ct., Regis Dr.",Jennifer's Playground,Neighborhood Park,http://www.nycgovparks.org/parks/R114/,10314
10.5,R,"Broadway, Henderson Ave., Chappell St.",CPL. Thompson Park,Community Park,http://www.nycgovparks.org/parks/R109/,10310
138.1,R,"Richmond Pkwy., West Shore Expw., Lenevar Ave., Ramona Ave.",Bloomingdale Park,Community Park,http://www.nycgovparks.org/parks/R106/,10309
3.201,B,Myrtle Ave. bet. Nostrand Ave. and Marcy Ave.,Marcy Playground,Community Park,http://www.nycgovparks.org/parks/B217/,11206
173.994,R,"West Shore Exwy., Huguenot Ave., Alverson Ave., W. Castor Pl.",South Shore Country Club,Managed Sites,http://www.nycgovparks.org/parks/R104/,1030910312
